comune-code,comune-name,area
22001,Ala,119.9
22002,Albiano,9
22003,Aldeno,8.98
22235,Altavalle,33.56
22236,Altopiano della Vigolana,45.03
22237,Amblar-Don,14.59
22005,Andalo,9.81
22006,Arco,63
22007,Avio,68.83
22009,Baselga di Pinè,40.8
22011,Bedollo,27.4
22013,Besenello,25
22015,Bieno,11
22017,Bleggio Superiore,32
22018,Bocenago,8
22021,Bondone,19
22238,Borgo Chiese,53.7
22239,Borgo Lares,22.6
22022,Borgo Valsugana,52
22025,Brentonico,62
22026,Bresimo,41
22027,Brez,18
22029,Caderzone Terme,18
22030,Cagnò,3
22032,Calceranica al Lago,3.4
22033,Caldes,20
22034,Caldonazzo,21.46
22035,Calliano,10.16
22036,Campitello di Fassa,25
22037,Campodenno,25
22038,Canal San Bovo,125
22039,Canazei,67
22040,Capriana,13
22041,Carano,13
22042,Carisolo,24
22043,Carzano,1.71
22045,Castel Condino,11
22240,Castel Ivano,34.8
22046,Castelfondo,25.7
22047,Castello-Molina di Fiemme,54.48
22048,Castello Tesino,112
22049,Castelnuovo,13.45
22050,Cavalese,45
22051,Cavareno,9
22052,Cavedago,9
22053,Cavedine,38
22054,Cavizzana,3
22241,Cembra Lisignago,24.11
22058,Cimone,9
22059,Cinte Tesino,25
22060,Cis,5
22061,Civezzano,15.52
22062,Cles,39
22063,Cloz,8
22228,Comano Terme,67.69
22064,Commezzadura,22.5
22242,Contà,19.5
22068,Croviana,5
22070,Daiano,9
22071,Dambel,5
22074,Denno,10
22075,Dimaro Folgarida,36.53
22078,Drena,8
22079,Dro,27
22080,Faedo,10
22081,Fai della Paganella,12.15
22083,Fiavè,24
22085,Fierozzo,17.94
22087,Folgaria,71
22088,Fondo,30.75
22089,Fornace,7.24
22090,Frassilongo,16.71
22091,Garniga Terme,13.07
22092,Giovo,20.79
22093,Giustino,40.1
22095,Grigno,46.41
22097,Imer,27.6
22098,Isera,14.1
22102,Lavarone,26.3
22103,Lavis,12.44
22229,Ledro,154.6
22104,Levico Terme,62.9
22106,Livo,15.2
22108,Lona-Lases,11.4
22109,Luserna,8.2
22243,Madruzzo,28.9
22110,Malè,26.2
22111,Malosco,6.75
22112,Massimeno,21.4
22113,Mazzin,23.7
22114,Mezzana,27.3
22115,Mezzano,48.9
22116,Mezzocorona,25
22117,Mezzolombardo,13.8
22118,Moena,82.6
22120,Molveno,35.2
22123,Mori,34.5
22124,Nago-Torbole,28.4
22126,Nave San Rocco,4.9
22127,Nogaredo,3.64
22128,Nomi,6.5
22129,Novaledo,8
22130,Ospedaletto,16.8
22131,Ossana,25.2
22133,Palù del Fersina,16.7
22134,Panchià,20.2
22136,Peio,160.3
22137,Pellizzano,39.9
22138,Pelugo,22.9
22139,Pergine Valsugana,54.4
22234,Pieve di Bono-Prezzo,24.7
22142,Pieve Tesino,73.5
22143,Pinzolo,69.3
22144,Pomarolo,9.3
22244,Porte di Rendena,40.7
22230,Predaia,80.05
22147,Predazzo,109.84
22245,Primiero San Martino di Castrozza,200.1
22150,Rabbi,132.4
22152,Revò,13.44
22153,Riva del Garda,42.45
22154,Romallo,2.4
22155,Romeno,9.1
22156,Roncegno Terme,38.05
22157,Ronchi Valsugana,9.99
22135,Ronzo-Chienis,13.2
22159,Ronzone,5.3
22160,Roverè della Luna,10.4
22161,Rovereto,50.9
22162,Ruffrè-Mendola,6
22163,Rumo,30.8
22164,Sagron Mis,11.2
22165,Samone,4.9
22166,San Lorenzo Dorsino,73.9
22167,San Michele all'Adige,5.3
22168,Sant'Orsola Terme,15.4
22169,Sanzeno,8
22170,Sarnonico,12.1
22171,Scurelle,29.9
22172,Segonzano,20.8
22246,Sella Giudicarie,85.8
22250,San Giovanni di Fassa,99.82
22173,Sfruz,11.7
22176,Soraga di Fassa,19.6
22177,Sover,14.7
22179,Spiazzo,70.6
22180,Spormaggiore,30.2
22181,Sporminore,17.5
22182,Stenico,49.8
22183,Storo,62.9
22184,Strembo,38.3
22188,Telve,64.8
22189,Telve di Sopra,17.8
22190,Tenna,3.1
22191,Tenno,28.3
22193,Terragnolo,39.4
22195,Terzolas,5.4
22196,Tesero,50
22199,Tione di Trento,33.3
22200,Ton,26.4
22202,Torcegno,15.2
22203,Trambileno,50.3
22247,Tre Ville,81.5
22205,Trent,157.9
22232,Valdaone,177.1
22209,Valfloriana,39.4
22210,Vallarsa,78.3
22248,Vallelaghi,72.5
22211,Varena,23.2
22213,Vermiglio,103.7
22216,Vignola-Falesina,12
22222,Villa Lagarina,24.1
22249,Ville d'Anaunia,89.1
22224,Volano,10.8
22225,Zambana,11.7
22226,Ziano di Fiemme,35.8
